get_date,lat,lng,speed,line_no
2018.01.02 19:15:36,35.18044,128.9292,0,13481
2018.01.02 19:15:39,35.18044,128.9292,0,13481
2018.01.02 19:15:42,35.18044,128.9292,0,13481
2018.01.02 19:15:45,35.18044,128.9292,0,13481
2018.01.02 19:15:48,35.18044,128.9292,0,13481
2018.01.02 19:15:51,35.18044,128.92921,0,13481
2018.01.02 19:15:54,35.18044,128.92921,0,13481
2018.01.02 19:15:57,35.18044,128.9292,0,13481
2018.01.02 19:16:00,35.18045,128.92921,0,13481
2018.01.02 19:16:03,35.18045,128.92921,0,13481
2018.01.02 19:16:06,35.18046,128.92921,0,13481
2018.01.02 19:16:09,35.18046,128.92921,0,13481
2018.01.02 19:16:12,35.18047,128.92923,0,13481
2018.01.02 19:16:15,35.18047,128.92923,0,13481
2018.01.02 19:16:18,35.18048,128.92923,0,13481
2018.01.02 19:16:21,35.18049,128.92924,0,13481
2018.01.02 19:16:24,35.1805,128.92926,0,13481
2018.01.02 19:16:27,35.18051,128.92928,0,13481
2018.01.02 19:16:30,35.18052,128.92928,0,13481
2018.01.02 19:16:39,35.18053,128.92929,0,13481
2018.01.02 19:16:42,35.18053,128.92929,0,13481
2018.01.02 19:16:45,35.18053,128.92929,0,13481
2018.01.02 19:16:48,35.18054,128.92929,0,13481
2018.01.02 19:16:51,35.18055,128.92931,0,13481
2018.01.02 19:16:54,35.18055,128.92931,0,13481
2018.01.02 19:16:57,35.18056,128.92932,0,13481
2018.01.02 19:17:00,35.18057,128.92932,0,13481
2018.01.02 19:17:03,35.18058,128.92934,0,13481
2018.01.02 19:17:06,35.18058,128.92934,0,13481
2018.01.02 19:17:09,35.18057,128.92934,0,13481
2018.01.02 19:17:12,35.18056,128.92934,0,13481
2018.01.02 19:17:15,35.18056,128.92932,0,13481
2018.01.02 19:17:18,35.18055,128.92932,0,13481
2018.01.02 19:17:21,35.18056,128.92932,0,13481
2018.01.02 19:17:24,35.18056,128.92932,0,13481
2018.01.02 19:17:27,35.18057,128.92932,0,13481
2018.01.02 19:17:30,35.18057,128.92932,0,13481
2018.01.02 19:17:33,35.18058,128.92932,0,13481
2018.01.02 19:17:36,35.18057,128.92931,0,13481
2018.01.02 19:17:39,35.18057,128.92931,0,13481
2018.01.02 19:17:42,35.18057,128.92931,0,13481
2018.01.02 19:17:45,35.18056,128.92931,0,13481
2018.01.02 19:17:48,35.18056,128.92929,0,13481
2018.01.02 19:17:51,35.18056,128.92929,0,13481
2018.01.02 19:17:54,35.18056,128.92929,0,13481
2018.01.02 19:17:57,35.18055,128.92928,0,13481
2018.01.02 19:18:00,35.18055,128.92928,0,13481
2018.01.02 19:18:09,35.18054,128.92926,0,13481
2018.01.02 19:18:12,35.18054,128.92926,0,13481
2018.01.02 19:18:15,35.18053,128.92926,0,13481
2018.01.02 19:18:18,35.18053,128.92926,0,13481
2018.01.02 19:18:21,35.18053,128.92926,0,13481
2018.01.02 19:18:24,35.18053,128.92926,0,13481
2018.01.02 19:18:27,35.18054,128.92926,0,13481
2018.01.02 19:18:30,35.18054,128.92928,0,13481
2018.01.02 19:18:33,35.18054,128.92928,0,13481
2018.01.02 19:18:36,35.18054,128.92928,0,13481
2018.01.02 19:18:39,35.18054,128.92928,0,13481
2018.01.02 19:18:42,35.18054,128.92928,0,13481
2018.01.02 19:18:45,35.18053,128.92928,0,13481
2018.01.02 19:18:48,35.18052,128.92926,0,13481
2018.01.02 19:18:51,35.18053,128.92926,0,13481
2018.01.02 19:18:54,35.18052,128.92926,0,13481
2018.01.02 19:18:57,35.18052,128.92924,0,13481
2018.01.02 19:19:00,35.18052,128.92924,0,13481
2018.01.02 19:19:03,35.18052,128.92924,0,13481
2018.01.02 19:19:06,35.18052,128.92924,0,13481
2018.01.02 19:19:09,35.18052,128.92926,0,13481
2018.01.02 19:19:12,35.18053,128.92926,0,13481
2018.01.02 19:19:15,35.18052,128.92926,0,13481
2018.01.02 19:19:18,35.18052,128.92926,0,13481
2018.01.02 19:19:21,35.18052,128.92926,0,13481
2018.01.02 19:19:24,35.1805,128.92924,0,13481
2018.01.02 19:19:27,35.1805,128.92924,0,13481
2018.01.02 19:19:30,35.1805,128.92924,0,13481
2018.01.02 19:19:33,35.1805,128.92924,0,13481
2018.01.02 19:19:36,35.18051,128.92926,0,13481
2018.01.02 19:19:39,35.18051,128.92926,0,13481
2018.01.02 19:19:42,35.18051,128.92926,0,13481
2018.01.02 19:19:45,35.18051,128.92926,0,13481
2018.01.02 19:19:48,35.18051,128.92926,0,13481
2018.01.02 19:19:51,35.18052,128.92926,0,13481
2018.01.02 19:19:54,35.18052,128.92926,0,13481
2018.01.02 19:19:57,35.18052,128.92926,0,13481
2018.01.02 19:20:00,35.18052,128.92928,0,13481
2018.01.02 19:20:09,35.18052,128.92929,0,13481
2018.01.02 19:20:12,35.18052,128.92929,0,13481
2018.01.02 19:20:15,35.18052,128.92929,0,13481
2018.01.02 19:20:18,35.18053,128.92931,0,13481
2018.01.02 19:20:21,35.18053,128.92931,0,13481
2018.01.02 19:20:24,35.18053,128.92931,0,13481
2018.01.02 19:20:27,35.18053,128.92931,0,13481
2018.01.02 19:20:30,35.18053,128.92931,0,13481
2018.01.02 19:20:33,35.18053,128.92931,0,13481
2018.01.02 19:20:36,35.18053,128.92931,0,13481
2018.01.02 19:20:39,35.18053,128.92931,0,13481
2018.01.02 19:20:42,35.18053,128.92931,0,13481
2018.01.02 19:20:45,35.18053,128.92931,0,13481
2018.01.02 19:20:48,35.18053,128.92931,0,13481
2018.01.02 19:20:51,35.18053,128.92929,0,13481
2018.01.02 19:20:54,35.18052,128.92929,0,13481
2018.01.02 19:21:03,35.1805,128.92928,0,13481
2018.01.02 19:21:06,35.1805,128.92926,0,13481
2018.01.02 19:21:09,35.1805,128.92926,0,13481
2018.01.02 19:21:12,35.18049,128.92926,0,13481
2018.01.02 19:21:15,35.18048,128.92926,0,13481
2018.01.02 19:21:18,35.18048,128.92924,0,13481
2018.01.02 19:21:21,35.18048,128.92924,0,13481
2018.01.02 19:21:24,35.18047,128.92924,0,13481
2018.01.02 19:21:27,35.18047,128.92923,0,13481
2018.01.02 19:21:30,35.18047,128.92921,0,13481
2018.01.02 19:21:33,35.18046,128.92921,0,13481
2018.01.02 19:21:36,35.18046,128.92921,0,13481
2018.01.02 19:21:39,35.18045,128.92921,0,13481
2018.01.02 19:21:42,35.18045,128.92921,0,13481
2018.01.02 19:21:45,35.18046,128.92923,0,13481
2018.01.02 19:21:48,35.18046,128.92923,0,13481
2018.01.02 19:21:51,35.18046,128.92924,0,13481
2018.01.02 19:21:54,35.18047,128.92924,0,13481
2018.01.02 19:21:57,35.18047,128.92924,0,13481
2018.01.02 19:22:00,35.18047,128.92926,0,13481
2018.01.02 19:22:03,35.18048,128.92926,0,13481
2018.01.02 19:22:06,35.18048,128.92928,0,13481
2018.01.02 19:22:09,35.18048,128.92928,0,13481
2018.01.02 19:22:12,35.18049,128.92928,0,13481
2018.01.02 19:22:15,35.18048,128.92928,0,13481
2018.01.02 19:22:18,35.18048,128.92928,0,13481
2018.01.02 19:22:21,35.18048,128.92926,0,13481
2018.01.02 19:22:24,35.18048,128.92926,0,13481
2018.01.02 19:22:27,35.18047,128.92926,0,13481
2018.01.02 19:22:30,35.18047,128.92926,0,13481
2018.01.02 19:22:33,35.18046,128.92926,0,13481
2018.01.02 19:22:36,35.18046,128.92924,0,13481
2018.01.02 19:22:39,35.18046,128.92924,0,13481
2018.01.02 19:22:42,35.18046,128.92924,0,13481
2018.01.02 19:22:45,35.18045,128.92924,0,13481
2018.01.02 19:22:48,35.18045,128.92924,0,13481
2018.01.02 19:22:51,35.18045,128.92924,0,13481
2018.01.02 19:22:54,35.18045,128.92924,0,13481
2018.01.02 19:22:57,35.18045,128.92924,0,13481
2018.01.02 19:23:00,35.18045,128.92924,0,13481
2018.01.02 19:23:03,35.18046,128.92924,0,13481
2018.01.02 19:23:06,35.18046,128.92926,0,13481
2018.01.02 19:23:09,35.18047,128.92926,0,13481
2018.01.02 19:23:12,35.18047,128.92928,0,13481
2018.01.02 19:23:15,35.18047,128.92928,0,13481
2018.01.02 19:23:18,35.18048,128.92928,0,13481
2018.01.02 19:23:21,35.18048,128.92928,0,13481
2018.01.02 19:23:24,35.18048,128.92928,0,13481
2018.01.02 19:23:27,35.18048,128.92929,0,13481
2018.01.02 19:23:30,35.18049,128.92929,0,13481
2018.01.02 19:23:33,35.18049,128.92928,0,13481
2018.01.02 19:23:36,35.18049,128.92929,0,13481
2018.01.02 19:23:39,35.1805,128.92929,0,13481
2018.01.02 19:23:42,35.1805,128.92929,0,13481
2018.01.02 19:23:51,35.18052,128.92932,0,13481
2018.01.02 19:23:54,35.18053,128.92932,0,13481
2018.01.02 19:23:57,35.18054,128.92934,0,13481
2018.01.02 19:24:00,35.18054,128.92934,0,13481
2018.01.02 19:24:03,35.18055,128.92934,0,13481
2018.01.02 19:24:06,35.18055,128.92935,0,13481
2018.01.02 19:24:09,35.18055,128.92935,0,13481
2018.01.02 19:24:12,35.18054,128.92934,0,13481
2018.01.02 19:24:15,35.18054,128.92934,0,13481
2018.01.02 19:24:18,35.18054,128.92934,0,13481
2018.01.02 19:24:21,35.18054,128.92934,0,13481
2018.01.02 19:24:24,35.18054,128.92934,0,13481
2018.01.02 19:24:27,35.18053,128.92932,0,13481
2018.01.02 19:24:30,35.18053,128.92932,0,13481
2018.01.02 19:24:33,35.18052,128.92932,0,13481
2018.01.02 19:24:36,35.18052,128.92931,0,13481
2018.01.02 19:24:45,35.1805,128.92929,0,13481
2018.01.02 19:24:48,35.1805,128.92929,0,13481
2018.01.02 19:24:51,35.1805,128.92929,0,13481
2018.01.02 19:24:54,35.1805,128.92929,0,13481
2018.01.02 19:24:57,35.1805,128.92929,0,13481
2018.01.02 19:25:00,35.1805,128.92929,0,13481
2018.01.02 19:25:06,35.1805,128.92931,0,13481
2018.01.02 19:25:09,35.1805,128.92931,0,13481
2018.01.02 19:25:12,35.1805,128.92931,0,13481
2018.01.02 19:25:21,35.18049,128.92929,0,13481
2018.01.02 19:25:24,35.18048,128.92928,0,13481
2018.01.02 19:25:27,35.18048,128.92928,0,13481
2018.01.02 19:25:30,35.18047,128.92926,0,13481
2018.01.02 19:25:33,35.18047,128.92926,0,13481
2018.01.02 19:25:36,35.18047,128.92926,0,13481
2018.01.02 19:25:39,35.18048,128.92928,0,13481
2018.01.02 19:25:42,35.18049,128.92928,0,13481
2018.01.02 19:25:45,35.1805,128.92929,0,13481
2018.01.02 19:25:48,35.1805,128.92929,0,13481
2018.01.02 19:25:54,35.18051,128.92931,0,13481
2018.01.02 19:25:57,35.18052,128.92931,0,13481
2018.01.02 19:26:00,35.18052,128.92932,0,13481
2018.01.02 19:26:03,35.18053,128.92932,0,13481
2018.01.02 19:26:06,35.18053,128.92932,0,13481
2018.01.02 19:26:09,35.18053,128.92934,0,13481
2018.01.02 19:26:12,35.18053,128.92934,0,13481
2018.01.02 19:26:15,35.18053,128.92934,0,13481
2018.01.02 19:26:18,35.18054,128.92935,0,13481
2018.01.02 19:26:21,35.18054,128.92935,0,13481
2018.01.02 19:26:24,35.18053,128.92935,0,13481
2018.01.02 19:26:27,35.18053,128.92935,0,13481
2018.01.02 19:26:30,35.18052,128.92934,0,13481
2018.01.02 19:26:33,35.18052,128.92934,0,13481
2018.01.02 19:26:36,35.18052,128.92934,0,13481
2018.01.02 19:26:39,35.18051,128.92934,0,13481
2018.01.02 19:26:42,35.18051,128.92932,0,13481
2018.01.02 19:26:45,35.18051,128.92934,0,13481
2018.01.02 19:26:48,35.1805,128.92932,0,13481
2018.01.02 19:26:51,35.1805,128.92932,0,13481
2018.01.02 19:26:54,35.18051,128.92934,0,13481
2018.01.02 19:26:57,35.18051,128.92934,0,13481
2018.01.02 19:27:00,35.18051,128.92934,0,13481
2018.01.02 19:27:03,35.18052,128.92934,0,13481
2018.01.02 19:27:06,35.18052,128.92934,0,13481
2018.01.02 19:27:09,35.18052,128.92935,0,13481
2018.01.02 19:27:12,35.18053,128.92935,0,13481
2018.01.02 19:27:15,35.18053,128.92937,0,13481
2018.01.02 19:27:18,35.18053,128.92935,0,13481
2018.01.02 19:27:21,35.18053,128.92935,0,13481
2018.01.02 19:27:24,35.18053,128.92935,0,13481
2018.01.02 19:27:27,35.18053,128.92935,0,13481
2018.01.02 19:27:30,35.18052,128.92934,0,13481
2018.01.02 19:27:33,35.18052,128.92934,0,13481
2018.01.02 19:27:36,35.18052,128.92934,0,13481
2018.01.02 19:27:39,35.18052,128.92934,0,13481
2018.01.02 19:27:42,35.18052,128.92932,0,13481
2018.01.02 19:27:45,35.18052,128.92932,0,13481
2018.01.02 19:27:48,35.18052,128.92932,0,13481
2018.01.02 19:27:51,35.18052,128.92932,0,13481
2018.01.02 19:27:54,35.18051,128.92932,0,13481
2018.01.02 19:27:57,35.18051,128.92932,0,13481
2018.01.02 19:28:00,35.1805,128.92931,0,13481
2018.01.02 19:28:03,35.1805,128.92931,0,13481
2018.01.02 19:28:06,35.1805,128.92931,0,13481
2018.01.02 19:28:09,35.1805,128.92931,0,13481
2018.01.02 19:28:12,35.18049,128.92931,0,13481
2018.01.02 19:28:15,35.18049,128.92931,0,13481
2018.01.02 19:28:18,35.18049,128.92931,0,13481
2018.01.02 19:28:21,35.18049,128.92931,0,13481
2018.01.02 19:28:24,35.18049,128.92931,0,13481
2018.01.02 19:28:27,35.18049,128.92931,0,13481
2018.01.02 19:28:30,35.18049,128.92931,0,13481
2018.01.02 19:28:33,35.18049,128.92931,0,13481
2018.01.02 19:28:36,35.18049,128.92931,0,13481
2018.01.02 19:28:42,35.18047,128.92928,0,13481
2018.01.02 19:28:45,35.18046,128.92926,0,13481
2018.01.02 19:28:48,35.18045,128.92924,0,13481
2018.01.02 19:28:51,35.18045,128.92923,0,13481
2018.01.02 19:28:54,35.18044,128.92921,0,13481
2018.01.02 19:28:57,35.18043,128.9292,0,13481
2018.01.02 19:29:00,35.18043,128.92918,0,13481
2018.01.02 19:29:03,35.18042,128.92917,0,13481
2018.01.02 19:29:06,35.18042,128.92917,0,13481
2018.01.02 19:29:09,35.18042,128.92917,0,13481
2018.01.02 19:29:12,35.1804,128.92918,5,13481
2018.01.02 19:29:15,35.18032,128.92917,12,13481
2018.01.02 19:29:18,35.18022,128.92915,16,13481
2018.01.02 19:29:21,35.18005,128.92915,27,13481
2018.01.02 19:29:24,35.17983,128.92917,29,13481
2018.01.02 19:29:33,35.17902,128.92932,35,13481
2018.01.02 19:29:36,35.17876,128.92935,32,13481
2018.01.02 19:29:39,35.17853,128.92938,27,13481
2018.01.02 19:29:42,35.17833,128.92938,24,13481
2018.01.02 19:29:45,35.17818,128.9295,22,13481
2018.01.02 19:29:48,35.1781,128.92973,29,13481
2018.01.02 19:29:51,35.17801,128.93004,38,13481
2018.01.02 19:29:54,35.17792,128.9304,42,13481
2018.01.02 19:29:57,35.17788,128.93082,44,13481
2018.01.02 19:30:00,35.17779,128.93124,45,13481
2018.01.02 19:30:03,35.17768,128.93167,47,13481
2018.01.02 19:30:06,35.17757,128.93208,46,13481
2018.01.02 19:30:09,35.17745,128.9325,45,13481
2018.01.02 19:30:12,35.17733,128.93289,43,13481
2018.01.02 19:30:21,35.17706,128.93382,25,13481
2018.01.02 19:30:24,35.17702,128.93405,23,13481
2018.01.02 19:30:27,35.17698,128.93425,21,13481
2018.01.02 19:30:30,35.17686,128.93437,20,13481
2018.01.02 19:30:33,35.17668,128.93439,26,13481
2018.01.02 19:30:36,35.17642,128.93443,37,13481
2018.01.02 19:30:39,35.1761,128.93448,42,13481
2018.01.02 19:30:42,35.1758,128.93451,38,13481
2018.01.02 19:30:51,35.17514,128.93462,32,13481
2018.01.02 19:30:54,35.17485,128.93465,42,13481
2018.01.02 19:30:57,35.17451,128.93469,46,13481
2018.01.02 19:31:00,35.17414,128.93475,49,13481
2018.01.02 19:31:03,35.17376,128.9348,48,13481
2018.01.02 19:31:06,35.1734,128.93484,46,13481
2018.01.02 19:31:09,35.17305,128.93489,41,13481
2018.01.02 19:31:12,35.17282,128.93492,22,13481
2018.01.02 19:31:15,35.17269,128.93494,16,13481
2018.01.02 19:31:18,35.17253,128.93497,25,13481
2018.01.02 19:31:21,35.1723,128.935,31,13481
2018.01.02 19:31:24,35.17205,128.93503,33,13481
2018.01.02 19:31:27,35.17179,128.93506,35,13481
2018.01.02 19:31:30,35.17148,128.93509,42,13481
2018.01.02 19:31:33,35.17113,128.93513,46,13481
2018.01.02 19:31:36,35.17076,128.93518,49,13481
2018.01.02 19:31:39,35.17037,128.93523,52,13481
2018.01.02 19:31:42,35.16995,128.93529,54,13481
2018.01.02 19:31:45,35.16953,128.93535,54,13481
