speed,time,distance,traffic,
78,0:09:33,8.058008064,1180,573
79,0:09:30,7.989864357,1180,570
78,0:09:27,7.922407474,1180,567
76,0:09:24,7.854950457,1180,564
78,0:09:21,7.788534831,1180,561
77,0:09:18,7.721166567,1180,558
80,0:09:15,7.654604954,1180,555
81,0:09:12,7.584661839,1180,552
82,0:09:09,7.513894204,1180,549
86,0:09:06,7.441799866,1180,546
84,0:09:03,7.368330755,1180,543
83,0:09:00,7.297608507,1180,540
80,0:08:57,7.226886188,1180,537
82,0:08:54,7.156672878,1180,534
83,0:08:51,7.084062375,1180,531
86,0:08:48,7.010809978,1180,528
87,0:08:45,6.936259684,1180,525
87,0:08:42,6.861046511,1180,522
87,0:08:39,6.785630319,1180,519
88,0:08:36,6.709331048,1180,516
89,0:08:33,6.632400732,1180,513
88,0:08:30,6.556613401,1180,510
86,0:08:27,6.481604892,1180,507
84,0:08:24,6.409755521,1180,504
78,0:08:21,6.339818779,1180,501
71,0:08:18,6.276936896,1180,498
67,0:08:15,6.216626799,1180,495
53,0:08:12,6.165909033,1180,492
44,0:08:09,6.126598302,1180,489
36,0:08:06,6.092921164,1180,486
28,0:08:03,6.064744618,1180,483
14,0:08:00,6.048060144,1180,480
5,0:07:57,6.040274055,1180,477
0,0:07:54,6.037870858,1180,474
0,0:07:51,6.037870858,1180,471
0,0:07:48,6.036434288,1180,468
0,0:07:45,6.036434288,1180,465
0,0:07:42,6.034302782,1180,462
0,0:07:39,6.033190484,1180,459
0,0:07:36,6.033190484,1180,456
0,0:07:33,6.032078186,1180,453
0,0:07:30,6.030965888,1180,450
0,0:07:27,6.029853589,1180,447
0,0:07:24,6.028944453,1180,444
0,0:07:21,6.027832155,1180,441
0,0:07:18,6.027832155,1180,438
0,0:07:15,6.026013884,1180,435
0,0:07:12,6.026013884,1180,432
8,0:07:09,6.022676989,1180,429
17,0:07:06,6.009329409,1180,426
30,0:07:03,5.987009257,1180,423
36,0:07:00,5.959186941,1180,420
48,0:06:57,5.921096581,1180,417
54,0:06:54,5.877375321,1180,414
61,0:06:51,5.827596914,1180,411
63,0:06:48,5.773791719,1180,408
67,0:06:45,5.716885244,1180,405
67,0:06:42,5.658649367,1180,402
67,0:06:39,5.599608746,1180,399
67,0:06:36,5.541635992,1180,396
68,0:06:33,5.483123885,1180,393
68,0:06:30,5.423824727,1180,390
67,0:06:27,5.36633874,1180,387
67,0:06:24,5.307543512,1180,384
68,0:06:21,5.249199914,1180,381
66,0:06:18,5.191597795,1180,378
66,0:06:15,5.134608871,1180,375
62,0:06:12,5.078808457,1180,372
60,0:06:09,5.026459323,1180,369
53,0:06:06,4.976372875,1180,366
43,0:06:03,4.935057446,1180,363
27,0:06:00,4.906080572,1180,360
19,0:05:57,4.88937134,1180,357
24,0:05:54,4.868840301,1180,354
25,0:05:51,4.847965072,1180,351
27,0:05:48,4.824516323,1180,348
34,0:05:45,4.798155912,1180,345
38,0:05:42,4.767532646,1180,342
38,0:05:39,4.734224759,1180,339
44,0:05:36,4.697976171,1180,336
46,0:05:33,4.658412343,1180,333
48,0:05:30,4.617102525,1180,330
47,0:05:27,4.577087709,1180,327
42,0:05:24,4.539188681,1180,324
40,0:05:21,4.504233362,1180,321
37,0:05:18,4.471392732,1180,318
31,0:05:15,4.44277397,1180,315
31,0:05:12,4.41664701,1180,312
27,0:05:09,4.390520024,1180,309
19,0:05:06,4.370737883,1180,306
15,0:05:03,4.356364727,1180,303
12,0:05:00,4.344581211,1180,300
4,0:04:57,4.336974464,1180,297
0,0:04:54,4.333454544,1180,294
0,0:04:51,4.333454544,1180,291
0,0:04:48,4.333454544,1180,288
0,0:04:45,4.332545271,1180,285
0,0:04:42,4.331432972,1180,282
0,0:04:39,4.329996314,1180,279
0,0:04:36,4.329996314,1180,276
0,0:04:33,4.329996314,1180,273
0,0:04:30,4.329996314,1180,270
0,0:04:27,4.328884016,1180,267
1,0:04:24,4.327974743,1180,264
5,0:04:21,4.325843002,1180,261
15,0:04:18,4.318803162,1180,258
23,0:04:15,4.303098113,1180,255
30,0:04:12,4.277790821,1180,252
43,0:04:09,4.244482332,1180,249
48,0:04:06,4.203638731,1180,246
55,0:04:03,4.158563215,1180,243
58,0:04:00,4.107948328,1180,240
58,0:03:57,4.057333342,1180,237
62,0:03:54,4.005078633,1180,234
61,0:03:51,3.951172712,1180,231
59,0:03:48,3.899381543,1180,228
61,0:03:45,3.846302334,1180,225
60,0:03:42,3.793223017,1180,222
57,0:03:39,3.742260335,1180,219
57,0:03:36,3.692123565,1180,216
50,0:03:33,3.645750879,1180,213
36,0:03:30,3.609964529,1180,210
27,0:03:27,3.582993812,1180,207
19,0:03:24,3.564672157,1180,204
24,0:03:21,3.544957763,1180,201
33,0:03:18,3.520925156,1180,198
44,0:03:15,3.485210386,1180,195
47,0:03:12,3.446405083,1180,192
49,0:03:09,3.403436436,1180,189
51,0:03:06,3.360844696,1180,186
53,0:03:03,3.315850733,1180,183
48,0:03:00,3.270856803,1180,180
37,0:02:57,3.234100766,1180,177
28,0:02:54,3.207390125,1180,174
19,0:02:51,3.189385512,1180,171
