35,14,1633,1239
33,13.96250516,1633,1236
26,13.93443682,1633,1233
19,13.91632029,1633,1230
12,13.90173732,1633,1227
0,13.88971556,1633,1224
0,13.8767996,1633,1221
0,13.86944476,1633,1218
0,13.86650025,1633,1215
0,13.86559147,1633,1212
0,13.86377391,1633,1209
0,13.86233756,1633,1206
0,13.86233756,1633,1203
0,13.86122526,1633,1200
7,13.85849892,1633,1197
17,13.84796011,1633,1194
24,13.82817862,1633,1191
34,13.80187209,1633,1188
40,13.76693214,1633,1185
43,13.72950748,1633,1182
42,13.69201238,1633,1179
34,13.66014773,1633,1176
30,13.63364695,1633,1173
22,13.61387369,1633,1170
11,13.60363248,1633,1167
0,13.60150156,1633,1164
0,13.59798277,1633,1161
0,13.59585185,1633,1158
1,13.59585185,1633,1155
7,13.59021427,1633,1152
9,13.58464925,1633,1149
28,13.55853357,1633,1146
32,13.52899139,1633,1143
37,13.497005,1633,1140
39,13.46222217,1633,1137
36,13.42831706,1633,1134
36,13.39581664,1633,1131
32,13.36721051,1633,1128
29,13.34025321,1633,1125
31,13.30796276,1633,1122
22,13.28565734,1633,1119
22,13.2637154,1633,1116
20,13.24179106,1633,1113
22,13.22307844,1633,1110
26,13.20101346,1633,1107
25,13.17696942,1633,1104
29,13.1482529,1633,1101
33,13.11627029,1633,1098
3,12.94142612,1633,1074
0,12.93052049,1633,1071
0,12.92838955,1633,1068
0,12.92838955,1633,1065
0,12.92838955,1633,1062
0,12.92727725,1633,1059
0,12.92727725,1633,1056
0,12.92727725,1633,1053
0,12.92616496,1633,1050
0,12.92616496,1633,1047
1,12.92616496,1633,1044
11,12.92059985,1633,1041
16,12.90678748,1633,1038
26,12.8880748,1633,1035
34,12.85988231,1633,1032
35,12.82821524,1633,1029
36,12.79790306,1633,1026
37,12.7668734,1633,1023
41,12.7312228,1633,1020
45,12.6932957,1633,1017
49,12.651641,1633,1014
52,12.60824072,1633,1011
45,12.5654127,1633,1008
36,12.53349509,1633,1005
38,12.50045843,1633,1002
47,12.35134858,1633,990
49,12.31102896,1633,987
49,12.26779141,1633,984
47,12.22579423,1633,981
45,12.18523149,1633,978
41,12.14753729,1633,975
30,12.1170111,1633,972
27,12.09356971,1633,969
30,12.06983487,1633,966
33,12.03972716,1633,963
38,12.00911378,1633,960
45,11.97321547,1633,957
51,11.93096267,1633,954
59,11.88239833,1633,951
67,11.82679666,1633,948
70,11.76767638,1633,945
73,11.70503319,1633,942
75,11.64098615,1633,939
78,11.57553388,1633,936
75,11.51078596,1633,933
69,11.44814346,1633,930
69,11.3890241,1633,927
68,11.33131431,1633,924
62,11.27641931,1633,921
61,11.22292944,1633,918
61,11.17084791,1633,915
65,11.11594297,1633,912
66,11.05893485,1633,909
65,11.00189336,1633,906
64,10.94648942,1633,903
65,10.89094752,1633,900
56,10.83891461,1633,897
53,10.79191702,1633,894
57,10.74419121,1633,891
53,10.69736511,1633,888
52,10.6524887,1633,885
43,10.61031629,1633,882
40,10.57369366,1633,879
41,10.53887446,1633,876
43,10.5023703,1633,873
46,10.46484551,1633,870
46,10.42461232,1633,867
47,10.38437915,1633,864
46,10.34414601,1633,861
45,10.30467466,1633,858
44,10.26700189,1633,855
38,10.23037943,1633,852
29,10.20201033,1633,849
18,10.18279675,1633,846
18,10.16628815,1633,843
9,10.15532623,1633,840
