get_date,lat,lng,speed,line_no,time
2018-07-02 06:23:23,35.21189,129.0123,32,13395,0:18:06
2018-07-02 06:23:26,35.21181,129.01201,34,13395,0:18:03
2018-07-02 06:23:29,35.21173,129.01167,36,13395,0:18:00
2018-07-02 06:23:32,35.21165,129.01135,36,13395,0:17:57
2018-07-02 06:23:35,35.21157,129.01103,36,13395,0:17:54
2018-07-02 06:23:38,35.2115,129.0107,38,13395,0:17:51
2018-07-02 06:23:41,35.21141,129.01035,39,13395,0:17:48
2018-07-02 06:23:44,35.21132,129.01001,35,13395,0:17:45
2018-07-02 06:23:47,35.21125,129.00972,30,13395,0:17:42
2018-07-02 06:23:50,35.21119,129.00946,25,13395,0:17:39
2018-07-02 06:23:53,35.21111,129.00925,24,13395,0:17:36
2018-07-02 06:23:56,35.21104,129.00903,23,13395,0:17:33
2018-07-02 06:23:59,35.21099,129.00883,20,13395,0:17:30
2018-07-02 06:24:02,35.21096,129.0087,10,13395,0:17:27
2018-07-02 06:24:05,35.21094,129.00862,10,13395,0:17:24
2018-07-02 06:24:08,35.2109,129.00848,18,13395,0:17:21
2018-07-02 06:24:11,35.21084,129.00826,26,13395,0:17:18
2018-07-02 06:24:14,35.21078,129.00803,27,13395,0:17:15
2018-07-02 06:24:17,35.21071,129.00774,32,13395,0:17:12
2018-07-02 06:24:20,35.21063,129.00742,36,13395,0:17:09
2018-07-02 06:24:23,35.21057,129.00708,37,13395,0:17:06
2018-07-02 06:24:26,35.21049,129.00671,42,13395,0:17:03
2018-07-02 06:24:29,35.21039,129.00633,43,13395,0:17:00
2018-07-02 06:24:32,35.2103,129.00594,45,13395,0:16:57
2018-07-02 06:24:35,35.21022,129.00551,44,13395,0:16:54
2018-07-02 06:24:38,35.21012,129.00513,43,13395,0:16:51
2018-07-02 06:24:41,35.21002,129.00475,40,13395,0:16:48
2018-07-02 06:24:44,35.20992,129.00438,41,13395,0:16:45
2018-07-02 06:24:47,35.20984,129.00406,29,13395,0:16:42
2018-07-02 06:24:50,35.20978,129.00381,27,13395,0:16:39
2018-07-02 06:24:53,35.20974,129.00352,32,13395,0:16:36
2018-07-02 06:24:56,35.20968,129.00317,42,13395,0:16:33
2018-07-02 06:24:59,35.20964,129.00278,40,13395,0:16:30
2018-07-02 06:25:02,35.20961,129.00246,30,13395,0:16:27
2018-07-02 06:25:05,35.20958,129.00215,33,13395,0:16:24
2018-07-02 06:25:08,35.20955,129.00188,27,13395,0:16:21
2018-07-02 06:25:11,35.20953,129.00165,25,13395,0:16:18
2018-07-02 06:25:14,35.20951,129.0014,24,13395,0:16:15
2018-07-02 06:25:17,35.2095,129.00121,19,13395,0:16:12
2018-07-02 06:25:20,35.20948,129.00105,13,13395,0:16:09
2018-07-02 06:25:23,35.20948,129.00096,7,13395,0:16:06
2018-07-02 06:25:26,35.20948,129.00093,0,13395,0:16:03
2018-07-02 06:25:29,35.20947,129.00093,0,13395,0:16:00
2018-07-02 06:25:32,35.20946,129.00093,0,13395,0:15:57
2018-07-02 06:25:35,35.20945,129.00093,0,13395,0:15:54
2018-07-02 06:25:38,35.20945,129.00095,0,13395,0:15:51
2018-07-02 06:25:41,35.20944,129.00095,0,13395,0:15:48
2018-07-02 06:25:44,35.20943,129.00095,0,13395,0:15:45
2018-07-02 06:25:47,35.20943,129.00095,0,13395,0:15:42
2018-07-02 06:25:50,35.20943,129.00089,10,13395,0:15:39
2018-07-02 06:25:53,35.20942,129.00075,17,13395,0:15:36
2018-07-02 06:25:56,35.2094,129.00053,27,13395,0:15:33
2018-07-02 06:25:59,35.20936,129.00026,29,13395,0:15:30
2018-07-02 06:26:02,35.20929,128.99998,34,13395,0:15:27
2018-07-02 06:26:05,35.20915,128.99965,43,13395,0:15:24
2018-07-02 06:26:08,35.20896,128.99928,47,13395,0:15:21
2018-07-02 06:26:11,35.20872,128.99896,45,13395,0:15:18
2018-07-02 06:26:14,35.20844,128.99867,48,13395,0:15:15
2018-07-02 06:26:17,35.20815,128.99837,51,13395,0:15:12
2018-07-02 06:26:20,35.20783,128.99805,54,13395,0:15:09
2018-07-02 06:26:23,35.20751,128.99773,53,13395,0:15:06
2018-07-02 06:26:26,35.2072,128.99742,49,13395,0:15:03
2018-07-02 06:26:29,35.20691,128.99713,49,13395,0:15:00
2018-07-02 06:26:32,35.2066,128.99683,53,13395,0:14:57
2018-07-02 06:26:35,35.20628,128.99649,54,13395,0:14:54
2018-07-02 06:26:38,35.20597,128.99609,59,13395,0:14:51
2018-07-02 06:26:41,35.20564,128.99568,61,13395,0:14:48
2018-07-02 06:26:44,35.20529,128.99529,59,13395,0:14:45
2018-07-02 06:26:47,35.20496,128.99492,57,13395,0:14:42
2018-07-02 06:26:50,35.20465,128.99455,53,13395,0:14:39
2018-07-02 06:26:53,35.2044,128.99422,44,13395,0:14:36
2018-07-02 06:26:56,35.20432,128.99385,41,13395,0:14:33
2018-07-02 06:26:59,35.20443,128.99345,45,13395,0:14:30
2018-07-02 06:27:02,35.20464,128.99309,50,13395,0:14:27
2018-07-02 06:27:05,35.20491,128.99268,58,13395,0:14:24
2018-07-02 06:27:08,35.2052,128.99222,63,13395,0:14:21
2018-07-02 06:27:11,35.20552,128.99171,69,13395,0:14:18
2018-07-02 06:27:14,35.20586,128.9912,69,13395,0:14:15
2018-07-02 06:27:17,35.2062,128.99069,70,13395,0:14:12
2018-07-02 06:27:20,35.20655,128.99017,71,13395,0:14:09
2018-07-02 06:27:23,35.2069,128.98964,72,13395,0:14:06
2018-07-02 06:27:26,35.20727,128.98909,77,13395,0:14:03
2018-07-02 06:27:29,35.20766,128.98853,78,13395,0:14:00
2018-07-02 06:27:32,35.20805,128.98795,79,13395,0:13:57
2018-07-02 06:27:35,35.20844,128.98737,78,13395,0:13:54
2018-07-02 06:27:38,35.20882,128.9868,77,13395,0:13:51
2018-07-02 06:27:41,35.20919,128.98624,76,13395,0:13:48
2018-07-02 06:27:44,35.20957,128.98567,76,13395,0:13:45
2018-07-02 06:27:47,35.20995,128.98512,75,13395,0:13:42
2018-07-02 06:27:50,35.2103,128.98456,75,13395,0:13:39
2018-07-02 06:27:53,35.21059,128.98395,73,13395,0:13:36
2018-07-02 06:27:56,35.21079,128.98329,72,13395,0:13:33
2018-07-02 06:27:59,35.21091,128.98264,67,13395,0:13:30
2018-07-02 06:28:02,35.21098,128.98204,61,13395,0:13:27
2018-07-02 06:28:05,35.21104,128.98146,60,13395,0:13:24
2018-07-02 06:28:08,35.21109,128.98093,54,13395,0:13:21
2018-07-02 06:28:11,35.21115,128.98047,46,13395,0:13:18
2018-07-02 06:28:14,35.21121,128.98004,44,13395,0:13:15
2018-07-02 06:28:17,35.21125,128.97963,44,13395,0:13:12
2018-07-02 06:28:20,35.2113,128.97922,44,13395,0:13:09
2018-07-02 06:28:23,35.21134,128.97878,49,13395,0:13:06
2018-07-02 06:28:26,35.21138,128.9783,51,13395,0:13:03
2018-07-02 06:28:29,35.21143,128.97784,49,13395,0:13:00
2018-07-02 06:28:32,35.21148,128.97739,48,13395,0:12:57
2018-07-02 06:28:35,35.21152,128.97696,43,13395,0:12:54
2018-07-02 06:28:38,35.21156,128.97658,38,13395,0:12:51
2018-07-02 06:28:41,35.21159,128.97623,35,13395,0:12:48
2018-07-02 06:28:44,35.21162,128.97592,28,13395,0:12:45
