get_date,lat,lng,speed,line_no,time
2018-02-01 06:23:15,35.21181,129.01216,42,13395,0:18:48
2018-02-01 06:23:18,35.21171,129.01176,45,13395,0:18:45
2018-02-01 06:23:21,35.21162,129.01131,47,13395,0:18:42
2018-02-01 06:23:24,35.21153,129.01088,48,13395,0:18:39
2018-02-01 06:23:27,35.21143,129.01044,45,13395,0:18:36
2018-02-01 06:23:30,35.21132,129.01004,45,13395,0:18:33
2018-02-01 06:23:33,35.21122,129.00964,41,13395,0:18:30
2018-02-01 06:23:36,35.21112,129.00928,39,13395,0:18:27
2018-02-01 06:23:39,35.21103,129.00894,34,13395,0:18:24
2018-02-01 06:23:42,35.21095,129.00871,24,13395,0:18:21
2018-02-01 06:23:45,35.21088,129.00848,26,13395,0:18:18
2018-02-01 06:23:48,35.21081,129.00824,27,13395,0:18:15
2018-02-01 06:23:51,35.21074,129.0079,35,13395,0:18:12
2018-02-01 06:23:54,35.21067,129.00752,41,13395,0:18:09
2018-02-01 06:23:57,35.21055,129.00711,44,13395,0:18:06
2018-02-01 06:24:00,35.2104,129.00668,48,13395,0:18:03
2018-02-01 06:24:03,35.2103,129.00624,46,13395,0:18:00
2018-02-01 06:24:06,35.21022,129.00581,46,13395,0:17:57
2018-02-01 06:24:09,35.21014,129.00542,40,13395,0:17:54
2018-02-01 06:24:12,35.21006,129.00507,36,13395,0:17:51
2018-02-01 06:24:15,35.20999,129.00473,35,13395,0:17:48
2018-02-01 06:24:18,35.20993,129.00443,30,13395,0:17:45
2018-02-01 06:24:21,35.20985,129.0041,33,13395,0:17:42
2018-02-01 06:24:24,35.20978,129.0038,31,13395,0:17:39
2018-02-01 06:24:27,35.20971,129.00348,34,13395,0:17:36
2018-02-01 06:24:30,35.20967,129.00316,32,13395,0:17:33
2018-02-01 06:24:33,35.20964,129.00288,21,13395,0:17:30
2018-02-01 06:24:36,35.20964,129.00272,14,13395,0:17:27
2018-02-01 06:24:39,35.20964,129.00264,4,13395,0:17:24
2018-02-01 06:24:42,35.20963,129.00259,0,13395,0:17:21
2018-02-01 06:24:45,35.20963,129.00258,0,13395,0:17:18
2018-02-01 06:24:48,35.20963,129.00258,0,13395,0:17:15
2018-02-01 06:24:51,35.20962,129.00256,0,13395,0:17:12
2018-02-01 06:24:54,35.20963,129.00256,0,13395,0:17:09
2018-02-01 06:24:57,35.20963,129.00256,0,13395,0:17:06
2018-02-01 06:25:00,35.20963,129.00256,0,13395,0:17:03
